Way To Meet,1960s,1970s,1980s,1990s,2000s,2010s
Through Family,0.1111111111111111,0.11390284757118928,0.09598853868194843,0.09018567639257294,0.07332722273143905,0.05812897366030881
Through Friends,0.18888888888888888,0.21775544388609716,0.17621776504297995,0.17506631299734748,0.1860678276810266,0.16167120799273388
As Coworkers,0.08888888888888889,0.10887772194304858,0.166189111747851,0.15782493368700265,0.09899175068744272,0.08174386920980926
At A Bar or Restaurant,0.10833333333333334,0.11390284757118928,0.14040114613180515,0.13925729442970822,0.12740604949587533,0.15985467756584923
At A Party,0.058333333333333334,0.07202680067001675,0.06303724928366762,0.0610079575596817,0.06599450045829514,0.0653950953678474
In A Customer-Client Relationship,0.05555555555555555,0.03350083752093802,0.05730659025787966,0.05570291777188329,0.03758020164986251,0.035422343324250684
At School (Non-College),0.09166666666666666,0.06700167504187604,0.03581661891117478,0.04111405835543767,0.05041246562786435,0.03633060853769301
In College,0.05277777777777778,0.07705192629815745,0.05300859598853868,0.050397877984084884,0.054078826764436295,0.03814713896457766
At Church,0.027777777777777776,0.04020100502512563,0.03724928366762178,0.03713527851458886,0.04216315307057745,0.027247956403269755
Through A Voluntary Organization (i.e. hobbies),0.03611111111111111,0.03015075376884422,0.03724928366762178,0.03050397877984085,0.04032997250229148,0.030881017257039057
As Neighbors,0.03611111111111111,0.031825795644891124,0.03724928366762178,0.034482758620689655,0.04307974335472044,0.022706630336058128
On A Blind Date,0.05,0.035175879396984924,0.027220630372492838,0.025198938992042442,0.010999083409715857,0.005449591280653951
In A Public Place,0.027777777777777776,0.021775544388609715,0.022922636103151862,0.027851458885941646,0.02474793767186068,0.027247956403269755
In The Military,0.04722222222222222,0.021775544388609715,0.011461318051575931,0.015915119363395226,0.002749770852428964,0.005449591280653951
On Vacation,0.011111111111111112,0.008375209380234505,0.011461318051575931,0.007957559681697613,0.008249312557286892,0.007266121707538601
Through A Singles Service (Non-Online),0.0,0.0016750418760469012,0.0057306590257879654,0.021220159151193633,0.005499541704857928,0.0018165304268846503
On A Business Trip,0.0,0.0,0.0014326647564469914,0.005305039787798408,0.0018331805682859762,0.0009082652134423251
Online,0.005555555555555556,0.0016750418760469012,0.0014326647564469914,0.017241379310344827,0.1145737855178735,0.22888283378746593
As Work Neighbors,0.002777777777777778,0.0033500837520938024,0.01862464183381089,0.006631299734748011,0.011915673693858845,0.005449591280653951
